,Name,Vertex,Edges,Density,Max. Degree,Avg. Degree,Max. k-core,Avg. Clustering Coeff.,Diameter,Average Path Length,Total Triangles,Avg. Eigenvector Centrality,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,Categories
55,output_CL_59,48,160,0.14184397163120568,13,6.666666666666668,5,0.12644566082066086,4,2.2269503546099294,57.0,0.12738625434822726,1712304.0,2428800.0,511808.0,1077120.0,56430.0,110044.0,325688.0,55924.0,13596.0,5368.0,220.0,149426.0,7678.0,4264.0,50683.0,48625.0,4586.0,8446.0,9290.0,8558.0,1618.0,401.0,1731.0,1861.0,1567.0,273.0,73.0,151.0,319.0,160.0,16.0,36.0,2.0,0.0,CL
56,output_CL_6,48,160,0.14184397163120568,16,6.666666666666668,5,0.15741977929477927,5,2.25177304964539,61.0,0.12758226559490074,1712304.0,2428800.0,507540.0,1173150.0,60390.0,139172.0,372196.0,63140.0,17160.0,4972.0,44.0,160640.0,8142.0,6663.0,65001.0,57895.0,5956.0,9588.0,10674.0,11759.0,2003.0,416.0,1610.0,1817.0,1887.0,393.0,46.0,33.0,255.0,165.0,11.0,7.0,0.0,0.0,CL
57,output_CL_60,48,195,0.17287234042553193,17,8.125,5,0.2421119661928485,4,2.044326241134752,116.0,0.13203333543042015,1712304.0,2960100.0,759088.0,1646370.0,114840.0,219736.0,600776.0,132660.0,28600.0,13156.0,352.0,278321.0,19257.0,11779.0,118426.0,108449.0,13927.0,23715.0,25156.0,22263.0,4201.0,1359.0,5078.0,5355.0,4724.0,746.0,178.0,313.0,1059.0,494.0,49.0,96.0,4.0,0.0,CL
58,output_CL_61,48,168,0.14893617021276595,13,7.0,5,0.13418653106153108,4,2.1959219858156027,58.0,0.13182925016885466,1712304.0,2550240.0,563904.0,1199880.0,57420.0,127820.0,375540.0,54956.0,16236.0,4268.0,176.0,175233.0,8321.0,5036.0,60026.0,58038.0,4308.0,8467.0,8769.0,10262.0,1915.0,288.0,1330.0,1373.0,1501.0,292.0,37.0,116.0,211.0,106.0,7.0,24.0,1.0,0.0,CL
59,output_CL_62,48,193,0.17109929078014185,18,8.041666666666666,6,0.21052568754774634,4,2.0842198581560285,111.0,0.13172276128225405,1712304.0,2929740.0,745316.0,1573110.0,109890.0,197296.0,562848.0,120824.0,28908.0,13376.0,572.0,264130.0,18344.0,9870.0,105649.0,99799.0,11578.0,21205.0,22151.0,21571.0,3774.0,1064.0,4861.0,4944.0,4375.0,818.0,171.0,424.0,1018.0,496.0,55.0,124.0,8.0,0.0,CL
60,output_CL_63,48,189,0.1675531914893617,16,7.875,6,0.1753356018981019,4,2.0514184397163118,89.0,0.13319465220745422,1712304.0,2869020.0,713636.0,1531530.0,88110.0,190740.0,534424.0,96580.0,24288.0,8536.0,308.0,251725.0,14359.0,9155.0,97839.0,93009.0,9021.0,16427.0,17352.0,17621.0,3461.0,699.0,2931.0,3118.0,3135.0,536.0,90.0,205.0,496.0,263.0,18.0,46.0,2.0,0.0,CL
61,output_CL_64,48,180,0.1595744680851064,16,7.5,6,0.2691365925740926,4,2.129432624113475,106.0,0.1294799902809822,1712304.0,2732400.0,641960.0,1504800.0,104940.0,199980.0,534028.0,120428.0,26532.0,13112.0,528.0,232333.0,16025.0,10328.0,104172.0,93363.0,12169.0,20504.0,22506.0,20149.0,3587.0,1167.0,4808.0,5114.0,4156.0,686.0,179.0,393.0,1042.0,437.0,45.0,112.0,5.0,0.0,CL
62,output_CL_65,48,168,0.14893617021276595,14,7.0,5,0.16423796111296113,4,2.147163120567376,65.0,0.13207815827027314,1712304.0,2550240.0,564256.0,1191960.0,64350.0,131516.0,367224.0,62656.0,14080.0,4972.0,220.0,174010.0,9301.0,5727.0,60236.0,55822.0,5345.0,9434.0,10150.0,9084.0,1758.0,398.0,1561.0,1674.0,1508.0,233.0,42.0,137.0,233.0,121.0,7.0,27.0,1.0,0.0,CL
63,output_CL_66,48,178,0.15780141843971632,13,7.416666666666668,5,0.15733965108965112,3,2.099290780141844,66.0,0.13624060415209774,1712304.0,2702040.0,637296.0,1256310.0,65340.0,128128.0,389180.0,61160.0,14432.0,4576.0,88.0,196720.0,10160.0,4846.0,59568.0,59640.0,4735.0,9415.0,9508.0,8679.0,1809.0,409.0,1452.0,1423.0,1371.0,204.0,31.0,57.0,230.0,103.0,8.0,14.0,1.0,0.0,CL
64,output_CL_67,47,170,0.1572617946345976,15,7.2340425531914905,5,0.17663258727088518,4,2.1387604070305275,71.0,0.1345410481208052,1533939.0,2412300.0,564117.0,1178716.0,67166.0,132225.0,380593.0,67811.0,16254.0,6321.0,172.0,182188.0,10280.0,5712.0,63135.0,60689.0,5802.0,10726.0,11052.0,10555.0,1961.0,488.0,2041.0,2069.0,1827.0,287.0,61.0,110.0,376.0,164.0,18.0,27.0,1.0,0.0,CL
65,output_CL_68,47,168,0.15541165587419056,18,7.148936170212767,5,0.1894666243226944,4,2.130434782608696,90.0,0.1302228947741057,1533939.0,2383920.0,545068.0,1278992.0,85140.0,177289.0,443416.0,103888.0,21242.0,11567.0,430.0,191169.0,12434.0,10575.0,89304.0,74555.0,12152.0,16763.0,20029.0,16351.0,2723.0,1095.0,4178.0,5111.0,3429.0,566.0,202.0,361.0,965.0,408.0,52.0,112.0,7.0,0.0,CL
66,output_CL_69,48,169,0.149822695035461,16,7.041666666666668,5,0.15471698440448442,4,2.1808510638297878,67.0,0.1301494838940875,1712304.0,2565420.0,569668.0,1236510.0,66330.0,141416.0,391996.0,66088.0,17468.0,5808.0,220.0,180922.0,9620.0,6446.0,66219.0,61466.0,5714.0,10337.0,10988.0,11733.0,2022.0,423.0,1976.0,1968.0,1915.0,399.0,56.0,155.0,338.0,191.0,18.0,37.0,2.0,0.0,CL
67,output_CL_7,48,184,0.16312056737588654,18,7.666666666666668,5,0.18008359423800602,4,2.0948581560283692,93.0,0.13091240030419812,1712304.0,2793120.0,676412.0,1448370.0,92070.0,179124.0,495704.0,101640.0,22132.0,9636.0,220.0,231242.0,14523.0,9049.0,90551.0,83964.0,10080.0,17080.0,18332.0,15980.0,3016.0,940.0,3417.0,3742.0,3216.0,505.0,113.0,169.0,671.0,329.0,31.0,39.0,1.0,0.0,CL
68,output_CL_70,48,183,0.1622340425531915,18,7.625,6,0.19287130353306825,4,2.127659574468085,97.0,0.13005794661146794,1712304.0,2777940.0,666116.0,1498860.0,96030.0,196020.0,531036.0,110924.0,27280.0,10868.0,264.0,236240.0,14939.0,10276.0,102289.0,92618.0,11439.0,18979.0,20893.0,20438.0,3505.0,1034.0,4077.0,4337.0,4030.0,761.0,134.0,217.0,812.0,452.0,42.0,55.0,1.0,0.0,CL
69,output_CL_71,48,194,0.17198581560283688,16,8.083333333333334,5,0.1854153947903948,4,2.0496453900709217,102.0,0.13283327748312326,1712304.0,2944920.0,752224.0,1608750.0,100980.0,207416.0,579348.0,114092.0,27544.0,11264.0,396.0,271218.0,16889.0,10508.0,110415.0,103427.0,11149.0,20211.0,21305.0,20688.0,3911.0,1026.0,4149.0,4333.0,3951.0,663.0,145.0,289.0,834.0,393.0,38.0,85.0,5.0,0.0,CL
